epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
251,11219.1,0.04454,0.97832,1,1.39702,0.00175,0.00175,0.00175
252,11262.3,0.03794,0.97832,1,1.39755,0.001717,0.001717,0.001717
253,11305.4,0.04285,0.97868,1,1.39693,0.001684,0.001684,0.001684
254,11348.3,0.0417,0.97868,1,1.39755,0.001651,0.001651,0.001651
255,11392.2,0.03871,0.97868,1,1.39719,0.001618,0.001618,0.001618
256,11434.5,0.03895,0.97905,1,1.39728,0.001585,0.001585,0.001585
257,11476.9,0.04038,0.97905,1,1.39746,0.001552,0.001552,0.001552
258,11519.8,0.03837,0.97905,1,1.39764,0.001519,0.001519,0.001519
259,11563.5,0.03407,0.97905,1,1.39746,0.001486,0.001486,0.001486
260,11606.7,0.03624,0.97905,1,1.39728,0.001453,0.001453,0.001453
261,11650,0.03439,0.97868,1,1.39773,0.00142,0.00142,0.00142
262,11692.8,0.0345,0.97905,1,1.39755,0.001387,0.001387,0.001387
263,11736.6,0.03482,0.97905,1,1.39675,0.001354,0.001354,0.001354
264,11779.7,0.03162,0.97905,1,1.39666,0.001321,0.001321,0.001321
265,11823.3,0.03038,0.97905,1,1.39764,0.001288,0.001288,0.001288
266,11867.3,0.03169,0.97905,1,1.39657,0.001255,0.001255,0.001255
267,11910,0.0288,0.97905,1,1.39826,0.001222,0.001222,0.001222
268,11954,0.03164,0.97905,1,1.39693,0.001189,0.001189,0.001189
269,11997.4,0.03165,0.97942,1,1.39746,0.001156,0.001156,0.001156
270,12040.9,0.03059,0.97868,1,1.39675,0.001123,0.001123,0.001123
271,12084.2,0.03164,0.97868,1,1.39693,0.00109,0.00109,0.00109
272,12127.2,0.02979,0.97832,1,1.39737,0.001057,0.001057,0.001057
273,12170.4,0.02667,0.97832,1,1.39711,0.001024,0.001024,0.001024
274,12213.7,0.02842,0.97832,1,1.39684,0.000991,0.000991,0.000991
275,12257.2,0.02711,0.97832,1,1.39711,0.000958,0.000958,0.000958
276,12300.1,0.02658,0.97832,1,1.39728,0.000925,0.000925,0.000925
277,12343.8,0.02532,0.97832,1,1.39728,0.000892,0.000892,0.000892
278,12386.9,0.02715,0.97832,1,1.39702,0.000859,0.000859,0.000859
279,12430,0.0257,0.97795,1,1.39728,0.000826,0.000826,0.000826
280,12472.9,0.02104,0.97795,1,1.3964,0.000793,0.000793,0.000793
281,12516.3,0.02479,0.97758,1,1.39711,0.00076,0.00076,0.00076
282,12559.5,0.02623,0.97721,1,1.39737,0.000727,0.000727,0.000727
283,12603.5,0.02477,0.97721,1,1.39702,0.000694,0.000694,0.000694
284,12646.3,0.02254,0.97758,1,1.39737,0.000661,0.000661,0.000661
285,12690.3,0.02319,0.97758,1,1.39702,0.000628,0.000628,0.000628
286,12733,0.02508,0.97758,1,1.39684,0.000595,0.000595,0.000595
287,12775.6,0.02539,0.97758,1,1.39728,0.000562,0.000562,0.000562
288,12818.4,0.02384,0.97758,1,1.39666,0.000529,0.000529,0.000529
289,12860.7,0.02322,0.97758,1,1.39693,0.000496,0.000496,0.000496
290,12903.1,0.02773,0.97721,1,1.39675,0.000463,0.000463,0.000463
291,13003.1,0.02206,0.97721,1,1.39693,0.00043,0.00043,0.00043
292,13046.5,0.02177,0.97721,1,1.39711,0.000397,0.000397,0.000397
293,13090,0.02149,0.97721,1,1.39657,0.000364,0.000364,0.000364
294,13132.3,0.02016,0.97758,1,1.39675,0.000331,0.000331,0.000331
295,13174.6,0.01936,0.97758,1,1.39684,0.000298,0.000298,0.000298
296,13217.5,0.01857,0.97721,0.99963,1.39675,0.000265,0.000265,0.000265
297,13260.1,0.01804,0.97721,0.99963,1.39666,0.000232,0.000232,0.000232
298,13301.6,0.01992,0.97685,0.99963,1.39675,0.000199,0.000199,0.000199
299,13343.6,0.0168,0.97685,0.99963,1.39702,0.000166,0.000166,0.000166
300,13386.1,0.01945,0.97685,0.99963,1.39666,0.000133,0.000133,0.000133
